name,nature,source,circumstance,gift_old_style,gift_received_date,gift_date
"Trudeau, Justin",Set of porcelain teacups,"His Excellency Andrzej Duda, President of the Republic of Poland","Bilateral visit in Warsaw, Poland", ,2024/02/26,2024/03/15
"Trudeau, Justin","Two tote bags, toque, baseball cap, two enamel pins and pullover all with Winnipeg Art Gal...","Stephen D. Borys, Director & CEO & Doren Roberts, Rentals Coordinator of the WAG","Participated in a fireside chat, hosted by the Winnipeg Chamber of Commerce at the WAG in ...", ,2024/02/16,2024/03/15
"Trudeau, Justin",Framed painting by artist John Climenhage and a book by the artist entitled: Terre Sauvage...,"Jeff Leal, Mayor of Peterborough","Visited Firehall in Peterborough, Ontario", ,2024/02/08,2024/03/15
"Trudeau, Justin",Framed painting by water colour artist Iwona Deptuch-Dymowska,"His Excellency Donald Tusk, Prime Minister of the Republic of Poland","Bilateral visit in Warsaw, Poland", ,2024/02/26,2024/03/15
"Chen, Shaun","Event or sporting event ticket(s)
Number of Tickets: 1
Yee Hong Dragon Ball 2024",Yee Hong Community Wellness Foundation,Invited in my capacity as Member of Parliament for Scarborough North, ,2024/02/10,2024/03/10
"Naidoo, Nirmala",Two complimentary tickets to the YW Calgary YWHISPER Gala.,YWCA of Calgary.,Tickets received alongside volunteer role as gala host., ,,2024/02/29
"Hajdu, Patricia",Painting by Simone McLeod,"Alvin Fiddler, Grand Chief of Nishnawbe Aski Nation",Attended an introductory meeting with representatives of the Nishnawbe Aski Nation., ,2023/11/10,2024/02/23
"Longfield, Lloyd","1 ticket to attend the Canadian Science Policy Conference, November 13th-15th, 2023 at the...",Canadian Science Policy Centre,Speaker and presented an award at the gala dinner, ,,2024/02/21
"Hajdu, Patricia",Blanket and beaded necklace,"Chief Toney Alexis, Alexis Nakota Sioux First Nation Chief.","Attended a meeting with representatives of the Alexis Nakota Sioux First Nation, to discus...", ,2024/01/17,2024/02/20
"Hajdu, Patricia",Ribbon Skirt and Pendelton Blanket,"Grand Chief Cody Thomas, Confederacy of Treaty Six Nations Grand Chief",Attended a meeting with representatives of the Confederacy of Treaty Six First Nations to ..., ,2024/01/16,2024/02/20
"Hajdu, Patricia","Beaded shoes, chest with latch, two black Bearspaw First Nation hoodies, necklace.","Chief Darcy Dixon, Bearspaw First Nation Chief",Attended a meeting with representatives of the Bearspaw First Nation and an announcement f..., ,2024/01/16,2024/02/20
"Trudeau, Justin","Brass hammered box with embroidered lid, small brass hammered bowl,           and a small ...","His Majesty, King Abdullah II Ibn Al Hussein and Her Majesty, Queen Rania Al Abdullah of J...",Season’s Greetings, ,2024/01/09,2024/02/09
"Duclos, Jean-Yves","Invitation to participate in several events during the Carnaval de Québec, which takes pla...","Marie-Eve Jacob, Chief Executive Officer, Carnaval de Québec",Invitation received as the Member of the House of Commons for the riding and representativ..., ,2024/01/31,2024/02/01
"Duclos, Jean-Yves","Invitation to participate in several events during the Carnaval de Québec, which takes pla...","Marie-Eve Jacob, Chief Executive Officer, Carnaval de Québec",Invitation received as the Member of the House of Commons for the riding and representativ..., ,2024/01/31,2024/02/01
"Hanley, Brendan","Complimentary annual parking spot at the Erik Neilsen Airport located in Whitehorse, Yukon...",Department of Highways and Public Works of the Government of Yukon.,Complimentary annual parking spot offered to the Member of Parliament as Department's stan..., ,2024/01/30,2024/01/30
"Gaudreau, Marie-Hélène","Ticket to Mont-Tremblant's Women's Ski World Cup on December 2, 2023",Mont Tremblant Resort,Participation in the medal ceremony, ,,2024/01/29
"Blanchet, Yves-François",Room upgrade and welcome gifts (rum and cigars),"Melia Internacionale Varadero Hotel, Cuba",Advantages provided by the hotel because I have been identified as a Member of the House o..., ,2024/01/15,2024/01/22
"Gaudreau, Marie-Hélène",Engravings.,"Jacques Charbonneau, Artist of the Year in the Laurentides 2022.",Meeting with the artist.Date received: 2023-12-13., ,,2024/01/19
"Virani, Arif",Beaded medallion,Red Earth Cree Nation,Gift was offered during a meeting to build relationships with the Red Earth Cree Nation an..., ,2023/12/07,2024/01/17
"Virani, Arif",Rinpa Ko-Imari Style Bowl ,"H.E. Mr. Kanji Yamanouchi, Japanese Ambassador to Canada",Gift was offered during a meeting, ,2023/11/21,2024/01/17
"Gideon, Valerie",Cedar eagle feather ,"Richard Jock, Chief Executive Officer of the First Nations Health Authority, on behalf of ...",Official meeting, ,2023/12/05,2024/01/04
"Mondou, Isabelle",One ticket to attend the Sobey Art Award 2023 at the National Gallery of Canada,"Serge Belet, Senior Manager, Public Affairs and Partnerships, National Gallery of Canada",Representative of the Department of Canada Heritage, ,2023/11/18,2023/12/22
"Serengulian, Norair",Invitation to attend ICI Télévision's 10th Anniversary & Holiday Party,"Sam Norouzi, Vice-President, General Manager, ICI Télévision ","Invited in my capacity as Director - Relations with Communities, Office of the Minister of...", ,2023/12/07,2023/12/22
"Ames-Sinclair, Javin",Ticket to attend the Assembly of First Nations Winter Gala,Assembly of First Nations,"Invited in my personal capacity, by a relative who works at the Assembly of First Nations", ,2023/12/07,2023/12/22
"Bramwell, Edith (Ann Catherine)","Complimentary registration for two, to the Lancaster House Toronto Labour Arbitration and ...",Lancaster House,Invited as co-chair, ,2023/12/04,2023/12/19
"Chawla, Michelle",Sculpture by artist Lyndon Tootoosis.,Lyndon Tootoosis.,"Official visit to Regina, Saskatchewan.", ,,2023/12/18
"Morrison, David",Original painting with certificate of authenticity by Vietnamese artist Pham Ha Hai,"Pham Vinh Quang, Ambassador of Vietnam to Canada","Official meeting in Ottawa on December 7th, 2023", ,2023/12/07,2023/12/18
"Aoun, Christopher Anthony",Ticket to attend the Assembly of First Nations Winter Gala,Assembly of First Nations,"Invited in my personal capacity, by a friend that works at the Assembly of First Nations.", ,2023/12/07,2023/12/14
"Miller, Marc",Cufflinks,"Zaheer Janjua, High Commissioner of Pakistan to Canada",Official meeting, ,2023/12/11,2023/12/12
"Caputo, Frank",Blanket (from ceremony) and traditional Indigenous knife,First Nations Tax Commission and local elders from the Tk’emlúps te Secwépemc community,Blanket ceremony during a visit with other Members of Parliament at the First Nations Tax ..., ,2023/09/11,2023/12/08
"Carreau, Darlene",Two tickets to attend an end of year dinner.,"Paul Crampton, Chief Justice of the Federal Court of Canada.",Annual Court event., ,2023/11/16,2023/12/08
"Gaheer, Iqwinder","Participation in the Royal Canadian Navy's Canadian Leaders at Sea program, including a to...","Vice-Admiral Angus Topshee, Royal Canadian Navy",Invited in my capacity as a Member of Parliament, ,2023/10/30,2023/12/06
"Trudeau, Justin",Sculpture: Uplift by artist Shawn HibmaCronan andAPEC themed silk tie by Vineyard vines,"The Honourable Joseph R. Biden Jr., President of the United States of America",During the APEC Summit in San Francisco, ,2023/11/15,2023/12/06
"Trudeau, Justin",Hand beaded Bird,"His Excellency Andrés Manual López Obrador, President of the United Mexican States",During a bilateral meeting at the APEC Summit in San Francisco, ,2023/11/16,2023/12/06
"Trudeau, Justin","Local products basket (chocolate bars x 3, dried fruits, lavender, balsamic vinegar, olive...","The Honourable Gavin Newsom, Governor of California",During the Asia-Pacific Economic Cooperation Summit (APEC) in San Francisco, ,2023/11/15,2023/12/06
"Trudeau, Justin",Framed wooden map of Canada,"The Honourable Joseph R. Biden Jr., President of the United States of America","During the Americas Partnership for Economic Prosperity Summit in Washington, DC", ,2023/11/03,2023/12/06
"Joazard-Bélizaire, Ariane","Ticket to the Association québécoise de l'industrie du disque, du spectacle et de la video...",ADISQ,Supporting the Minister of Canadian Heritage in her official duties, ,2023/11/05,2023/12/06
"Fortin, Rhéal",Gold lapel pin depicting the Mace of the House of Commons of Guyana,"Speaker of the National Assembly of Guyana, the Honourable Manzoor Nadir",Visit of the Canadian Section of the Commonwealth Parliamentary Association in Guyana on N..., ,2023/11/14,2023/12/05
"Kitchen, Robert Gordon",A gold pin of the Parliamentary Mace marking 70 years,"Hon Manzoor Nadir, Speaker of the National Assembly of Guyana",Commonwealth Parliamentary Meetings with the Government of Guyana, ,2023/11/16,2023/11/29
"Qualtrough, Carla","One ticket to attend the March of Dimes Canada Changemakers event on November 1, 2023 in T...","Mr. Leonard Baker, President and Chief Executive Officer of March of Dimes Canada ",Speaker at the March of Dimes Canada Changemakers event, ,2023/11/01,2023/11/29
"Qualtrough, Carla",Team Canada Paralympic gear:- Lululemon Team Canada Navigation  Down Jacket- Lululemon Tea...,"Ms. Karen O’Neil, Chief Executive Officer of the Canadian Paralympic Committee",These gears were offered for me to wear in support of Canadian athletes during my attendan..., ,2023/11/10,2023/11/28
"Anandasangaree, Gary",A paddle and a hand woven blanket,"Chief Alice Thompson, Leq’a:Mel First Nation",Gifts offered on the occasion of an introductory meeting, ,2023/11/14,2023/11/21
"Anandasangaree, Gary",A paddle and a blanket,"Chief Jeff Jones, Pacheedaht First Nation",Gifts offered on the occasion of an introductory meeting and a land use agreement announce..., ,2023/11/15,2023/11/21
"Anandasangaree, Gary",Cedar Hat,"Chief Robert Nelson, Metlakatla First Nation",Gift offered on the occasion of an introductory meeting and a specific claim settlement an..., ,2023/11/16,2023/11/21
"Rood, Lianne",Complimentary ticket to attend the banquet of the Advancing Women in Agriculture Conferenc...,Advancing Women in Agriculture Conference,Invited as a guest speaker, ,2023/11/19,2023/11/17
"Fox, Kathleen Carol",All-access pass to the full two-day conference and tradeshow of the Air Transport Associat...,Air Transport Association of Canada (ATAC),Keynote speaker, ,2023/11/14,2023/11/17
"Dittmann, Paul George",Waiver of fee to attend Helicopter Association of Canada Annual Convention,"Barbara Priestley
Member Services, Helicopter Association of Canada",Keynote speaker, ,2023/11/09,2023/11/14
"Virani, Arif",Ticket to attend the Canadian Association of Black Lawyers Black and White Ball 2023,Canadian Association of Black Lawyers,Speaker at the Canadian Association of Black Lawyers Event Black and White Ball, ,2023/10/14,2023/11/13
"Fernandes, Dilys","One ticket to attend the March of Dimes Canada Changemakers event on November 1, 2023 in T...",March of Dimes Canada,Attendance to support the Minister in her role as a speaker at the event, ,2023/10/25,2023/11/10
"Trudeau, Justin",Framed painted ‘Military’ by Ukrainian artist Alina Kosenko,"His Excellency Volodymyr Zelenskyy, President of Ukraine ",Bilateral visit to Ottawa and Toronto , ,2023/09/22,2023/11/08
"Trudeau, Justin",Kereta Pedati – Framed oil painting by artist Men Sagan ,"His Excellency Joko Widodo, President of the Republic of Indonesia and Mrs Iriana Joko Wid...","ASEAN Summit in Jakarta, Indonesia", ,2023/09/05,2023/11/08
"Trudeau, Justin",Framed birch bark biting by artist Sally Milne,Sally Milne,Offered during a visit of an Urban Reserve in Saskatchewan (Site of former Residential Sch..., ,2023/09/30,2023/11/08
"Harewood, Patricia",Complimentary registration for the Ottawa Lancaster House Conference,Lancaster House,Two complimentary registrations were offered to the Federal Sector Labour Relations and Em..., ,2023/11/01,2023/11/08
"Trudeau, Justin",Snowshoe-stained glass art by NWT artist Michel Labine,"Garry Bailey, President of the Northwest Territory Métis Nation","Official visit to Hay River, Northwest Territory", ,2023/10/12,2023/11/08
"Trudeau, Justin",Sandook (wooden box) with brass etching ,"His Excellency Narendra Modi, Prime Minister of the Republic of India","Received during the G20 Summit in New Delhi, India", ,2023/09/09,2023/11/08
"Trudeau, Justin",Porcelain cake plate with Portuguese shield by Vista Alegre,"His Excellency Marcelo Rebelo de Sousa, President of the Portuguese Republic","His Excellency Marcelo Rebelo de Sousa, President of the Portuguese Republic visited Toron...", ,2023/09/15,2023/11/08
"Trudeau, Justin",Two Glass bead Medallions of moose,Lac La Ronge Council Members ,Offered during a visit of an Urban Reserve in Saskatchewan (Site of former Residential Sch..., ,2023/09/30,2023/11/08
"Trudeau, Justin",Beaver skin mitts,"Joyce Naytowhow Mcleod, Montreal Lake Cree Nation Chief",Offered during a visit of an Urban Reserve in Saskatchewan (Site of former Residential Sch..., ,2023/09/30,2023/11/08
"Trudeau, Justin",Framed birch bark biting by artist Sally Milne,"Valerie McLeod, Executive Director of the Woodland Wellness Centre  ",Presented to my son during a visit of an Urban Reserve in Saskatchewan (Site of former Res..., ,2023/09/30,2023/11/08
"Trudeau, Justin",Four-piece silver tea set,ASEAN Summit Organizers,"Received during the ASEAN Summit in Jakarta, Indonesia ", ,2023/09/05,2023/11/08
"Trudeau, Justin",Balinese Dancers – Resin sculpture on a granite pedestal,"His Excellency Joko Widodo, President of the Republic of Indonesia and Mrs Iriana Joko Wid...","Received during the ASEAN Summit in Jakarta, Indonesia ", ,2023/09/05,2023/11/08
"Bramwell, Edith (Ann Catherine)",Complimentary registration for the Ottawa Lancaster House Conference.,Lancaster House,Two complimentary registrations were offered to the Federal Sector Labour Relations and Em..., ,2023/11/01,2023/11/07
"Anand, Anita","A ticket to the Ontario Chamber of Commerce ""Ontario Business Advisory Council: A Conversa...",Ontario Chamber of Commerce,Keynote speaker, ,2023/10/27,2023/11/02
"St-Onge, Pascale","Pair of tickets to the Association québécoise de l'industrie du disque, du spectacle et de...",ADISQ,Delivering a speech in my capacity as Minister of Canadian Heritage, ,2023/11/01,2023/11/02
"Anand, Anita","A ticket to The Advocates’ Society ""Women in Litigation Symposium: Forging Your Own Path"",...",The Advocates' Society,Invitation to deliver remarks in my official capacity and personal capacity as lawyer and ..., ,2023/10/27,2023/11/02
"Paquette-Dioury, Aïsha","A ticket to the Association québécoise de l'industrie du disque, du spectacle et de la vid...",ADISQ,Supporting the Minister of Canadian Heritage in her official duties, ,2023/11/01,2023/11/01
"Duclos, Jean-Yves",Two tickets for the Grand Banquet de la Fondation du Musée,Fondation du Musée de la civilisation,Fundraising event for the benefit of the museum located in my riding, ,,2023/10/27
"Duclos, Jean-Yves",Two tickets for the Grand Banquet de la Fondation du Musée,Fondation du Musée de la civilisation,Fundraising event for the benefit of the museum located in my riding, ,,2023/10/27
"Duguid, Terry",A leather briefcase and a travel mug,Manitoba Métis Federation,Received at the Annual General Assembly of the Manitoba Métis Federation, ,,2023/10/25
"Duguid, Terry",A leather briefcase and a travel mug,Manitoba Métis Federation,Received at the Annual General Assembly of the Manitoba Métis Federation, ,,2023/10/25
"Wilkinson, Jonathan",1 ticket to attend the city of North Vancouver Mayor’s Gala in support of the Polygon Gall...,"Mayor of North Vancouver, Linda Buchanan, and The Polygon Gallery",Guest speaker as Member of Parliament for North Vancouver, ,,2023/10/23
"Wilkinson, Jonathan",1 ticket to attend the city of North Vancouver Mayor’s Gala in support of the Polygon Gall...,"Mayor of North Vancouver, Linda Buchanan, and The Polygon Gallery",Guest speaker as Member of Parliament for North Vancouver, ,,2023/10/23
"Jean, Lindsay",A ticket for the 2023 Annual Conference and Gala of the Canadian Association of Black Lawy...,Canadian Association of Black Lawyers,I accompanied the Minister of Justice and Attorney General of Canada to the the conference..., ,,2023/10/23
"Hajdu, Patricia","A book ""Living in the Edge"" by Chief Earl Maquinna George, a carved wood wall art, a blank...",Hereditary Chief Richard George of the Ahousaht First Nations,Visit of the Wellness facilities and programs underway in the community of the Ahousaht Fi..., ,2023/07/28,2023/10/18
"Hajdu, Patricia",Moccasins and a True North Sun River Home/Camping Blanket.,Northwest Angle #33 First Nation Community Chief,Community visit and celebration of the long-term drinking water advisory lift., ,2023/07/04,2023/10/18
"Petitpas Taylor, Ginette",A Palace of Westminster encaustic tile,"The Right Honourable Johnny Mercer, Minister of State (Minister for Veterans’ Affairs) of ...","At the occasion of a meeting with her counterpart, on September 16, 2023", ,,2023/10/17
"Carr, Ben",Leather-bound notepad and briefcase.,Manitoba Métis Federation.,Received at the Annual General Assembly of the Manitoba Métis Federation. , ,,2023/10/16
"Jardine, Nishika",One ticket to the Vimy Award Gala,"Canadian Defence Association Institute
Executive Director, CDAI",Attendance at the Vimy Award Gala, ,2023/11/08,2023/10/12
"Clark, Tom",One ticket to attend the hockey game between the New York Rangers and the Toronto Maple Le...,"Mr. David Hopkinson, President and Chief Operating Officer of Madison Garden Sports.",Courtesy invitation to attend the last New York Rangers local game against a Canadian team..., ,2023/04/13,2023/10/04
"Anandasangaree, Gary",Blanket,"Chief Cameron, Federation of Sovereign Indigenous Nations",Introductory meeting , ,2023/08/01,2023/10/04
"Anandasangaree, Gary",Blanket,"President McCallum, Métis Nation of Saskatchewan",An introductory meeting, ,2023/08/01,2023/10/04
"Anandasangaree, Gary",Blanket,"Chief Bear, Whitecap Dakota",Self Government Treaty Celebration , ,2023/07/31,2023/10/04
"O'Regan Jr., Seamus","One ticket to attend ""An evening with the Rt. Hon. Jean Chrétien"" on June 6, 2023 at the N...",The Pearson Centre for Progressive Policy,Invited in my capacity as Member of Parliament for St. John's South-Mount Pearl., ,2023/06/06,2023/10/03
"Anand, Anita","A ticket to the Toronto Global Forum (October 11-13, 2023)",International Economic Forum of the Americas,Speaker and panelist, ,2023/10/11,2023/10/03
"Moen, Paul","One ticket to attend ""An evening with the Rt. Hon. Jean Chrétien"" on June 6, 2023 at the N...",The Pearson Centre for Progressive Policy,"As his Chief of Staff, I accompanied Minister O'Regan.", ,,2023/10/03
"O'Regan Jr., Seamus","One ticket to attend ""An evening with the Rt. Hon. Jean Chrétien"" on June 6, 2023 at the N...",The Pearson Centre for Progressive Policy,Invited in my capacity as Member of Parliament for St. John's South-Mount Pearl., ,2023/06/06,2023/10/03
"Joly, Mélanie","Framed painting by Albanian artist and Prime Minister, Edi Rama.","Honourable Edi Rama, Prime Minister of Albania.","On the occasion of a travel to Europe, I met the Albanian Prime Minister who offered me th...", ,2023/09/01,2023/09/28
"Fox, Kathleen Carol",Complementary registration for ALPA's 67th Air Safety Forum,Air Line Pilots Association (ALPA),"Invited in my capacity as Chair, Transportation Safety Board of Canada as a keynote speake...", ,2023/09/13,2023/09/18
"Rota, Anthony",Decorative plate by Richard Ginori.,"Minister of Foreign Affairs, Antonio Tajani.",Official visit to Italy., ,,2023/09/12
"Rota, Anthony",Maurizio Talarico silk tie.,"President of the Republic, Sergio Mattarella.",Official visit to Italy., ,,2023/09/12
"Clark, Tom",One ticket to attend the basketball game between the New York Knicks and the Miami Heat at...,"Mr. David Hopkinson, President and Chief Operating Officer of Madison Square Garden Sports...",Invited to attend the game and sit with Canadian actor Mike Myers., ,2023/05/02,2023/09/11
